date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2015-04-01,5566.08,-0.3403999999999998,0.0163934426229508,0.0140845070422535,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.2054862801924e-17,SELL
2015-04-02,5665.98,-0.2768000000000001,0.0443925233644859,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.316862343668172e-17,NONE
2015-04-03,5788.17,-0.3188,0.0279720279720279,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.453088982267817e-17,NONE
2015-04-07,5970.38,-0.4281999999999999,0.0046511627906976,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.656230448993745e-17,NONE
2015-04-08,6013.47,-0.5678999999999998,0.0,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.704270434731193e-17,NONE
2015-04-09,5966.6,-0.5450000000000004,0.0023148148148148,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.652016219564933e-17,NONE
2015-04-10,6129.47,-0.5792000000000002,0.0,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.833595993922278e-17,NONE
2015-04-13,6264.08,-0.6364000000000001,0.0,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.983669386359451e-17,NONE
2015-04-14,6297.95,-0.5895000000000001,0.0022988505747126,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.021430219892227e-17,NONE
2015-04-15,6147.22,-0.5736000000000003,0.0068807339449541,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.853385034229535e-17,NONE
2015-04-16,6287.02,-0.6297999999999999,0.0022883295194508,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.009244630565e-17,NONE
2015-04-17,6351.24,-0.6974,0.0,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.080841935834408e-17,NONE
2015-04-20,6214.31,-0.5253000000000001,0.0182232346241457,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-6.928182032213414e-17,NONE
2015-04-21,6337.12,-0.4982999999999999,0.0204545454545454,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.065099893629424e-17,NONE
2015-04-22,6519.43,-0.5509999999999997,0.0158730158730158,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.26835284790638e-17,NONE
2015-04-23,6544.66,-0.5556999999999999,0.0158371040723981,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.296481157030441e-17,NONE
2015-04-24,6472.93,-0.5538999999999996,0.0180586907449209,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.21651113667892e-17,NONE
2015-04-27,6576.71,-0.6316000000000002,0.0045045045045045,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.33221291713453e-17,NONE
2015-04-28,6440.05,-0.6221999999999999,0.0089887640449438,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.179854029901307e-17,NONE
2015-04-29,6490.91,-0.5964,0.0112107623318385,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.236556598353537e-17,NONE
2015-04-30,6502.44,-0.5014999999999996,0.0335570469798657,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.249411112986926e-17,NONE
2015-05-04,6611.17,-0.5528,0.0267857142857142,0.0335570469798657,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.370631527218364e-17,NONE
2015-05-05,6330.71,-0.4463999999999997,0.0400890868596882,,159332.3041936109,159332.3041936109,-1.7763568394002505e-15,0.0,-7.057953541608607e-17,NONE
